0x565554e0  strcmp@plt
0x565554f0  printf@plt
0x56555500  gets@plt
0x56555510  memcpy@plt
0x56555520  malloc@plt
0x56555530  puts@plt
0x56555540  __libc_start_main@plt
0x56555550  memset@plt
0x56555560  ptrace@plt
0x56555570  __cxa_finalize@plt
0x56555578  __gmon_start__@plt
0x565556f0  main
0xf7fd2080  free@plt
0xf7fd2090  _dl_catch_exception@plt
0xf7fd20a0  malloc@plt
0xf7fd20b0  _dl_signal_exception@plt
0xf7fd20c0  calloc@plt
0xf7fd20d0  realloc@plt
0xf7fd20e0  _dl_signal_error@plt
0xf7fd20f0  _dl_catch_error@plt
0xf7fdb780  _dl_rtld_di_serinfo
0xf7fe2710  _dl_debug_state
0xf7fe4030  _dl_mcount
0xf7fe4900  _dl_get_tls_static_info
0xf7fe49f0  _dl_allocate_tls_init
0xf7fe4c60  _dl_allocate_tls
0xf7fe4ca0  _dl_deallocate_tls
0xf7fe4f80  ___tls_get_addr
0xf7fe4fd0  __tls_get_addr
0xf7fe53c0  _dl_make_stack_executable
0xf7fe5760  _dl_find_dso_for_object
0xf7fe7c80  _dl_exception_create
0xf7fe7d70  _dl_exception_create_format
0xf7fe80e0  _dl_exception_free
0xf7fe9270  __tunable_get_val
0xf7fe9b80  __get_cpu_features
0xf7fec1f0  malloc
0xf7fec2f0  calloc
0xf7fec340  free
0xf7fec590  realloc
--Type <RET> for more, q to quit, c to continue without paging--c
0xf7fec8d0  _dl_signal_exception
0xf7fec930  _dl_signal_error
0xf7fecae0  _dl_catch_exception
0xf7fecc00  _dl_catch_error
0xf7fcf540  __kernel_vsyscall
0xf7fcf560  __kernel_sigreturn
0xf7fcf570  __kernel_rt_sigreturn
0xf7fd0140  __vdso_gettimeofday
0xf7fd0150  __vdso_time
0xf7fd0190  __vdso_clock_gettime
0xf7fd01a0  __vdso_clock_gettime64
0xf7fd01b0  __vdso_clock_getres
0xf7dec0d0  __libpthread_freeres@plt
0xf7dec0e0  malloc@plt
0xf7dec0f0  __libdl_freeres@plt
0xf7dec100  free@plt
0xf7dec110  _Unwind_Find_FDE@plt
0xf7dec120  realloc@plt
0xf7dec130  *ABS*@plt
0xf7dec140  *ABS*@plt
0xf7dec150  memalign@plt
0xf7dec160  _dl_exception_create@plt
0xf7dec170  *ABS*@plt
0xf7dec180  __tunable_get_val@plt
0xf7dec190  *ABS*@plt
0xf7dec1a0  _dl_find_dso_for_object@plt
0xf7dec1b0  calloc@plt
0xf7dec1c0  ___tls_get_addr@plt
0xf7dec2c7  abort
0xf7dedd30  __libc_init_first
0xf7dedde0  __libc_start_main
0xf7dee040  gnu_get_libc_release
0xf7dee060  gnu_get_libc_version
0xf7dee440  __divdi3
0xf7dee4f0  __moddi3
0xf7dee590  __udivdi3
0xf7dee5c0  __umoddi3
0xf7dee5f0  __errno_location
0xf7dee610  iconv_open
0xf7dee6c0  iconv
0xf7dee8c0  iconv_close
0xf7dee910  __gconv_open
0xf7deef60  __gconv_get_modules_db
0xf7deef80  __gconv_get_alias_db
0xf7df7670  __gconv_transliterate
0xf7df7d10  __gconv_get_cache
0xf7df8920  __gconv_create_spec
0xf7df8c70  __gconv_destroy_spec
0xf7df8eb0  setlocale
0xf7dfb070  localeconv
0xf7dfb230  nl_langinfo
0xf7dfb260  __nl_langinfo_l
0xf7dfb260  nl_langinfo_l
0xf7dfb2d0  __ctype_get_mb_cur_max
0xf7dfb2f0  __newlocale
0xf7dfb2f0  newlocale
0xf7dfb9c0  __duplocale
0xf7dfb9c0  duplocale
0xf7dfbb60  __freelocale
0xf7dfbb60  freelocale
0xf7dfbc20  __uselocale
0xf7dfbc20  uselocale
0xf7dfbfa0  __assert_fail
0xf7dfbfe0  __assert_perror_fail
0xf7dfc060  __assert
0xf7dfc080  isalnum
0xf7dfc0b0  isalpha
0xf7dfc0e0  iscntrl
0xf7dfc110  isdigit
0xf7dfc140  islower
0xf7dfc170  isgraph
0xf7dfc1a0  isprint
0xf7dfc1d0  ispunct
0xf7dfc200  isspace
0xf7dfc230  isupper
0xf7dfc260  isxdigit
0xf7dfc290  tolower
0xf7dfc2d0  toupper
0xf7dfc310  isblank
0xf7dfc340  _tolower
0xf7dfc370  _toupper
0xf7dfc3a0  __toascii_l
0xf7dfc3a0  toascii
0xf7dfc3b0  __isascii_l
0xf7dfc3b0  isascii
0xf7dfc3d0  __isblank_l
0xf7dfc3d0  isblank_l
0xf7dfc3f0  __isalnum_l
0xf7dfc3f0  isalnum_l
0xf7dfc410  __isalpha_l
0xf7dfc410  isalpha_l
0xf7dfc430  __iscntrl_l
0xf7dfc430  iscntrl_l
0xf7dfc450  __isdigit_l
0xf7dfc450  isdigit_l
0xf7dfc470  __islower_l
0xf7dfc470  islower_l
0xf7dfc490  __isgraph_l
0xf7dfc490  isgraph_l
0xf7dfc4b0  __isprint_l
0xf7dfc4b0  isprint_l
0xf7dfc4d0  __ispunct_l
0xf7dfc4d0  ispunct_l
0xf7dfc4f0  __isspace_l
0xf7dfc4f0  isspace_l
0xf7dfc510  __isupper_l
0xf7dfc510  isupper_l
0xf7dfc530  __isxdigit_l
0xf7dfc530  isxdigit_l
0xf7dfc550  __tolower_l
0xf7dfc550  tolower_l
0xf7dfc570  __toupper_l
0xf7dfc570  toupper_l
0xf7dfc590  __isctype
0xf7dfc590  isctype
0xf7dfc5c0  __ctype_b_loc
0xf7dfc5e0  __ctype_toupper_loc
0xf7dfc600  __ctype_tolower_loc
0xf7dfc620  __ctype_init
0xf7dfcbd0  bindtextdomain
0xf7dfcc00  bind_textdomain_codeset
0xf7dfcc30  __dcgettext
0xf7dfcc30  dcgettext
0xf7dfcc60  __dgettext
0xf7dfcc60  dgettext
0xf7dfcc80  gettext
0xf7dfe390  dcngettext
0xf7dfe3c0  dngettext
0xf7dfe3f0  ngettext
0xf7e00440  textdomain
0xf7e01980  catopen
0xf7e01b70  catgets
0xf7e01c10  catclose
0xf7e01c90  __open_catalog
0xf7e025b0  __isinfl
0xf7e025b0  isinfl
0xf7e02610  __isnanl
0xf7e02610  isnanl
0xf7e02660  __finitel
0xf7e02660  finitel
0xf7e02680  copysignl
0xf7e026b0  modfl
0xf7e02820  scalblnl
0xf7e02840  frexpl
0xf7e028d0  __signbitl
0xf7e028f0  ldexpl
0xf7e028f0  scalbnl
0xf7e02980  __isinf
0xf7e02980  isinf
0xf7e029c0  __isnan
0xf7e029c0  isnan
0xf7e029f0  __finite
0xf7e029f0  finite
0xf7e02a10  copysign
0xf7e02a40  modf
0xf7e02bd0  scalbln
0xf7e02bf0  frexp
0xf7e02c70  __signbit
0xf7e02c90  ldexp
0xf7e02c90  scalbn
0xf7e02d20  __isinff
0xf7e02d20  isinff
0xf7e02d50  __isnanf
0xf7e02d50  isnanf
0xf7e02d70  __finitef
0xf7e02d70  finitef
0xf7e02d90  copysignf
0xf7e02dc0  modff
0xf7e02e90  scalblnf
0xf7e02eb0  frexpf
0xf7e02f20  __signbitf
0xf7e02f40  ldexpf
0xf7e02f40  scalbnf
0xf7e03db0  __sigsetjmp
0xf7e03e50  setjmp
0xf7e03eb0  _setjmp
0xf7e03f00  __libc_siglongjmp
0xf7e03f00  _longjmp
0xf7e03f00  longjmp
0xf7e03f00  siglongjmp
0xf7e03f60  __libc_longjmp
0xf7e04160  bsd_signal
0xf7e04160  signal
0xf7e04160  ssignal
0xf7e041b0  gsignal
0xf7e041b0  raise
0xf7e042b0  killpg
0xf7e04480  __sigaction
0xf7e04480  sigaction
0xf7e044d0  sigprocmask
0xf7e04580  kill
0xf7e045b0  sigpending
0xf7e045e0  __sigsuspend
0xf7e045e0  sigsuspend
0xf7e04670  sigwait
0xf7e04700  sigblock
0xf7e04780  sigsetmask
0xf7e04800  __sigpause
0xf7e048c0  sigpause
0xf7e048e0  __xpg_sigpause
0xf7e04900  sigvec
0xf7e04a30  sigstack
0xf7e04ad0  sigaltstack
0xf7e04b00  siginterrupt
0xf7e04bf0  sigemptyset
0xf7e04c40  sigfillset
0xf7e04ca0  sigaddset
0xf7e04d00  sigdelset
0xf7e04d60  sigismember
0xf7e04dc0  sigreturn
0xf7e04df0  siggetmask
0xf7e04e90  __sysv_signal
0xf7e04e90  sysv_signal
0xf7e04ee0  sigisemptyset
0xf7e04f50  sigandset
0xf7e04fc0  sigorset
0xf7e05030  __libc_current_sigrtmin
0xf7e05030  __libc_current_sigrtmin_private
0xf7e05050  __libc_current_sigrtmax
0xf7e05050  __libc_current_sigrtmax_private
0xf7e05070  __libc_allocate_rtsig
0xf7e05070  __libc_allocate_rtsig_private
0xf7e050c0  __sigtimedwait
0xf7e050c0  sigtimedwait
0xf7e05180  sigwaitinfo
0xf7e051a0  sigqueue
0xf7e05250  sighold
0xf7e052d0  sigrelse
0xf7e05350  sigignore
0xf7e053d0  sigset
0xf7e05540  atof
0xf7e05560  atoi
0xf7e05580  atol
0xf7e055a0  atoll
0xf7e055c0  bsearch
0xf7e05ea0  qsort_r
0xf7e061e0  qsort
0xf7e06210  getenv
0xf7e062f0  putenv
0xf7e068f0  setenv
0xf7e06960  unsetenv
0xf7e06ad0  clearenv
0xf7e06bb0  __libc_secure_getenv
0xf7e06bb0  __secure_getenv
0xf7e06bb0  secure_getenv
0xf7e06ec0  exit
0xf7e06ef0  on_exit
0xf7e07240  __cxa_atexit
0xf7e07270  __cxa_finalize
0xf7e074d0  quick_exit
0xf7e07500  __cxa_at_quick_exit
0xf7e07530  __cxa_thread_atexit_impl
0xf7e07600  __call_tls_dtors
0xf7e07660  abs
0xf7e07670  labs
0xf7e07680  imaxabs
0xf7e07680  llabs
0xf7e076b0  div
0xf7e076d0  ldiv
0xf7e076f0  imaxdiv
0xf7e076f0  lldiv
0xf7e07750  mblen
0xf7e07820  mbstowcs
0xf7e07880  mbtowc
0xf7e07950  wcstombs
0xf7e079b0  wctomb
0xf7e07a50  srand
0xf7e07a50  srandom
0xf7e07b10  initstate
0xf7e07bf0  setstate
0xf7e07cb0  random
0xf7e07d90  setstate_r
0xf7e07e80  random_r
0xf7e07f30  srandom_r
0xf7e08050  initstate_r
0xf7e081e0  rand
0xf7e081f0  rand_r
0xf7e08250  drand48
0xf7e082a0  erand48
0xf7e08300  lrand48
0xf7e08350  nrand48
0xf7e083a0  mrand48
0xf7e083f0  jrand48
0xf7e08440  srand48
0xf7e08470  seed48
0xf7e084a0  lcong48
0xf7e084d0  drand48_r
0xf7e084f0  erand48_r
0xf7e08570  lrand48_r
0xf7e085a0  nrand48_r
0xf7e085f0  mrand48_r
0xf7e08620  jrand48_r
0xf7e08660  srand48_r
0xf7e08690  seed48_r
0xf7e086e0  lcong48_r
0xf7e087c0  getrandom
0xf7e08860  getentropy
0xf7e08920  strfromf
0xf7e08920  strfromf32
0xf7e08ca0  strfromd
0xf7e08ca0  strfromf32x
0xf7e08ca0  strfromf64
0xf7e09020  strfromf64x
0xf7e09020  strfroml
0xf7e093b0  __strtol_internal
0xf7e093f0  strtol
0xf7e09430  __strtoul_internal
0xf7e09470  strtoul
0xf7e094b0  __strtoll_internal
0xf7e094b0  __strtoq_internal
0xf7e094f0  strtoll
0xf7e094f0  strtoq
0xf7e09530  __strtoull_internal
0xf7e09530  __strtouq_internal
0xf7e09570  strtoull
0xf7e09570  strtouq
0xf7e09b10  __strtol_l
0xf7e09b10  strtol_l
0xf7e0a090  __strtoul_l
0xf7e0a090  strtoul_l
0xf7e0a870  __strtoll_l
0xf7e0a870  strtoll_l
0xf7e0aff0  __strtoull_l
0xf7e0aff0  strtoull_l
0xf7e0b020  __strtof_internal
0xf7e0b050  strtof
0xf7e0b050  strtof32
0xf7e0b080  __strtod_internal
0xf7e0b0b0  strtod
0xf7e0b0b0  strtof32x
0xf7e0b0b0  strtof64
0xf7e0b0e0  __strtold_internal
0xf7e0b110  strtof64x
0xf7e0b110  strtold
0xf7e0dd70  __strtof_l
0xf7e0dd70  strtof32_l
0xf7e0dd70  strtof_l
0xf7e10cf0  __strtod_l
0xf7e10cf0  strtod_l
0xf7e10cf0  strtof32x_l
0xf7e10cf0  strtof64_l
0xf7e13b20  __strtold_l
0xf7e13b20  strtof64x_l
0xf7e13b20  strtold_l
0xf7e13b40  __strtof_nan
0xf7e13c00  __strtod_nan
0xf7e13cd0  __strtold_nan
0xf7e14360  __libc_system
0xf7e14360  system
0xf7e143a0  realpath
0xf7e14a40  canonicalize_file_name
0xf7e14a60  a64l
0xf7e14ab0  l64a
0xf7e14b90  rpmatch
0xf7e14c10  strfmon
0xf7e15f00  __strfmon_l
0xf7e15f00  strfmon_l
0xf7e15f30  getsubopt
0xf7e16050  __xpg_basename
0xf7e16430  fmtmsg
0xf7e16a40  addseverity
0xf7e16b00  strtoimax
0xf7e16b20  strtoumax
0xf7e16b40  wcstoimax
0xf7e16b60  wcstoumax
0xf7e16b80  getcontext
0xf7e16bf0  setcontext
0xf7e16c50  makecontext
0xf7e16cc0  swapcontext
0xf7e18ba0  strfromf128
